Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,like_groups
0.7,0.709,7.0,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,202960.0,1026177.0,14.0
0.674,0.628,2.0,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,247907.0,2554163.0,17.0
0.534,0.87,11.0,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,215160.0,2187945.0,16.0
0.491,0.588,1.0,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600.0,1819636.0,16.0
0.473,0.592,5.0,-6.859,0.138,0.0528,0.0,0.131,0.292,159.7,138573.0,948515.0,14.0
0.636,0.888,8.0,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200.0,146755.0,8.0
0.688,0.734,9.0,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,208493.0,611231.0,12.0
0.457,0.823,9.0,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,230733.0,938718.0,14.0
0.637,0.678,0.0,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760.0,5550929.0,19.0
0.908,0.669,7.0,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,11469490.0,
0.949,0.661,5.0,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,6489755.0,19.0
0.802,0.755,4.0,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350320.0,950561.0,14.0
0.548,0.847,1.0,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,18992.0,2.0
0.78,0.768,6.0,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107.0,5152714.0,19.0
0.749,0.925,10.0,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,263373.0,12696568.0,
0.808,0.745,10.0,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,9287567.0,20.0
0.668,0.824,5.0,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547.0,2471743.0,16.0
