Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.665,0.678,5,-4.122,0.0315,0.00156,0,0.474,0.682,131.986,122570,182210
0.721,0.632,5,-6.695,0.0358,0.0693,0,0.291,0.296,92.057,144860,335937
0.742,0.617,2,-6.689,0.0345,0.05,5.92E-05,0.0711,0.491,147.002,124188,273280
0.594,0.749,9,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,172854,9883068
0.628,0.69,8,-5.83,0.0511,0.443,0,0.113,0.66,179.908,205907,4089045
0.635,0.713,11,-6.909,0.0937,0.228,0,0.0506,0.749,179.864,204701,2634233
0.627,0.849,1,-3.167,0.153,0.0913,0,0.145,0.818,89.907,158087,6740
0.681,0.648,1,-5.021,0.38,0.523,0,0.104,0.688,172.02,286507,1811446
0.855,0.912,10,-4.832,0.145,0.183,0,0.122,0.885,104.072,157023,748538
0.76,0.803,8,-2.867,0.0306,0.531,0,0.0555,0.922,136.945,223074,435031
0.832,0.608,6,-6.042,0.0385,0.282,0,0.0761,0.589,94.013,198707,4733493
0.591,0.785,9,-7.768,0.161,0.161,0,0.126,0.785,106.002,217547,557112
0.827,0.788,7,-11.937,0.0831,0.246,0,0.0764,0.815,109.933,170005,2340
0.557,0.54,9,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,1126554
0.443,0.403,0,-8.339,0.0322,0.631,0,0.111,0.41,143.462,243027,1075941
0.533,0.376,9,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,383619
0.332,0.179,5,-11.83,0.0326,0.879,0,0.0886,0.315,96.529,125667,475089
0.482,0.849,2,-9.198,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,155227,490790
0.686,0.127,7,-14.361,0.0342,0.754,1.41E-05,0.0573,0.372,93.699,138387,365297
0.688,0.435,9,-11.359,0.0323,0.449,0,0.113,0.435,103.239,146333,463315
0.386,0.607,10,-7.7,0.0261,0.0112,1.38E-05,0.088,0.532,147.207,425653,460662
0.49,0.715,7,-5.549,0.0476,0.386,0,0.311,0.866,130.726,145747,275921
0.396,0.338,0,-10.872,0.0304,0.198,2.62E-06,0.138,0.377,133.522,182293,675186
0.671,0.939,8,-3.206,0.161,0.191,0,0.298,0.53,129.024,252307,4265538
0.581,0.963,11,-4.087,0.0981,0.0295,0,0.139,0.788,129.992,204160,5671596
0.721,0.802,1,-5.797,0.0583,0.0921,0,0.694,0.724,124.022,229360,1423079
0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.542,135.956,229507,2999847
0.67,0.855,0,-3.035,0.0499,0.0124,0,0.335,0.648,120.05,227280,2961540
0.761,0.933,10,-5.38,0.056,0.0908,8.53E-05,0.0607,0.836,122.959,236200,1576522
0.592,0.935,6,-4.317,0.0581,0.00879,0.0154,0.132,0.567,125.013,222520,4925915
0.85,0.631,1,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002,237600,1533812
